,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118216,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2400.0
118217,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1100.0
118218,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,572.0
118221,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1566.0
118224,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1749.0
118228,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1333.0
118229,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1350.0
118230,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2262.0
118231,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,6500.0
118232,2014,Santa Catarina,Sim,Não,Não,Sim ,Não,Sim ,Não,575.0
118234,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2462.0
118235,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,800.0
118238,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,925.0
118240,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1400.0
118242,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2225.0
118246,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,736.0
118250,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1193.0
118251,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,6100.0
118253,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1150.0
118255,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,600.0
118260,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,3100.0
118261,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2734.0
118265,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1864.0
118272,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,7862.0
118276,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,600.0
118277,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,463.0
118278,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,942.0
118279,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,875.0
118280,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2750.0
118281,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1450.0
118282,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2000.0
118283,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,696.0
118284,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,950.0
118286,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,487.0
118288,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2000.0
118289,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1400.0
118290,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,3000.0
118291,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1625.0
118292,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3750.0
118293,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1800.0
118294,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1850.0
118295,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1533.0
118296,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1633.0
118297,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1237.0
118300,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3250.0
118301,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1353.0
118302,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1425.0
118304,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1982.0
118305,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,500.0
118306,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1000.0
118309,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,600.0
118310,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1400.0
118312,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,724.0
118315,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1669.0
