,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,Renda_mensal,microcomputador,Tablet,outro_equipamento
116050,2013,SC,Não,Sim,Não,,,,1292.0,,,
116051,2013,SC,Não,Sim,Não,,,,616.0,,,
116052,2013,SC,Não,Não,Não,,,,1278.0,,,
116053,2013,SC,Não,Não,Sim ,Não,Sim ,Não,1600.0,Sim ,Não,Não
116054,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,700.0,Sim ,Não,Não
116055,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,3633.0,Sim ,Não,Não
116056,2013,SC,Sim,Sim,Não,,,,1875.0,,,
116057,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1428.0,Sim ,Não,Não
116058,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,433.0,Sim ,Não,Não
116059,2013,SC,Não,Sim,Não,,,,1369.0,,,
116060,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1033.0,Sim ,Não,Não
116061,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,933.0,Sim ,Não,Não
116062,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,1095.0,Sim ,Não,Não
116063,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,746.0,Sim ,Não,Não
116064,2013,SC,Não,Não,Sim ,Não,Não,Sim ,1200.0,Sim ,Não,Não
116065,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,4939.0,Sim ,Não,Não
116066,2013,SC,Sim,Não,Sim ,Não,Não,Sim ,3352.0,Sim ,Não,Não
116067,2013,SC,Não,Sim,Não,,,,1017.0,,,
116069,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,1660.0,Sim ,Sim ,Não
116070,2013,SC,Não,Sim,Sim ,Sim ,Não,Sim ,839.0,Sim ,Não,Não
116071,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1062.0,Sim ,Não,Não
116072,2013,SC,Não,Sim,Não,,,,1700.0,,,
116073,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1333.0,Sim ,Não,Não
116075,2013,SC,Sim,Sim,Sim ,Sim ,Sim ,Sim ,3000.0,Sim ,Sim ,Não
116076,2013,SC,Não,Sim,Não,,,,490.0,,,
116077,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1139.0,Sim ,Não,Não
116078,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,1433.0,Sim ,Não,Não
116079,2013,SC,Não,Sim,Não,,,,1200.0,,,
116080,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,637.0,Sim ,Sim ,Não
116081,2013,SC,Sim,Não,Sim ,Sim ,Não,Sim ,1228.0,Sim ,Não,Não
116082,2013,SC,Não,Sim,Não,,,,1000.0,,,
116083,2013,SC,Sim,Sim,Sim ,Sim ,Não,Sim ,4750.0,Sim ,Não,Não
116084,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,2425.0,Sim ,Não,Não
116085,2013,SC,Não,Sim,Não,,,,978.0,,,
116087,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Não,1533.0,Sim ,Não,Não
116088,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,1900.0,Sim ,Não,Não
116089,2013,SC,Não,Sim,Sim ,Não,Não,Sim ,911.0,Sim ,Não,Não
116090,2013,SC,Não,Sim,Sim ,Sim ,Sim ,Sim ,1186.0,Sim ,Não,Não
116091,2013,SC,Sim,Sim,Sim ,Não,Não,Sim ,1566.0,Sim ,Não,Não
